primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
Pauvre Pierrot	Pauvre Pierrot	0	1892	\N	4	Animation,Comedy,Romance
Un bon bock	Un bon bock	0	1892	\N	\N	Animation,Short
Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Comedy,Short
Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
Exiting the Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
The Arrival of a Train	L'arrivée d'un train à La Ciotat	0	1896	\N	1	Action,Documentary,Short
The Photographical Congress Arrives in Lyon	Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon	0	1895	\N	1	Documentary,Short
The Sprinkler Sprinkled	L'arroseur arrosé	0	1895	\N	1	Comedy,Short
Autour d'une cabine	Autour d'une cabine	0	1894	\N	2	Animation,Short
Barque sortant du port	Barque sortant du port	0	1895	\N	1	Documentary,Short
Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
Das boxende Känguruh	Das boxende Känguruh	0	1895	\N	1	Short
The Clown Barber	The Clown Barber	0	1898	\N	\N	Comedy,Short
The Derby 1895	The Derby 1895	0	1895	\N	1	Documentary,Short,Sport
Blacksmith Scene	Les forgerons	0	1895	\N	1	Documentary,Short
The Sea	Baignade en mer	0	1895	\N	1	Documentary,Short
Opening of the Kiel Canal	Opening of the Kiel Canal	0	1895	\N	\N	News,Short
The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	0	1895	\N	\N	News,Short,Sport
The Messers. Lumière at Cards	Partie d'écarté	0	1896	\N	1	Documentary,Short
Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	0	1895	\N	1	Documentary,Short
Fishing for Goldfish	La pêche aux poissons rouges	0	1895	\N	1	Documentary,Short
Baby's Dinner	Repas de bébé	0	1895	\N	1	Documentary,Short
Rough Sea at Dover	Rough Sea at Dover	0	1895	\N	1	Documentary,Short
Jumping the Blanket	Le saut à la couverture	0	1895	\N	1	Documentary,Short
Die Serpentintänzerin	Die Serpentintänzerin	0	1895	\N	1	Short
Trick Riding	La voltige	0	1895	\N	1	Comedy,Documentary,Short
Arrivée d'un train gare de Vincennes	Arrivée d'un train gare de Vincennes	0	1896	\N	1	Documentary,Short
Watering the Flowers	L'arroseur	0	1896	\N	1	Comedy,Short
Awakening of Rip	Awakening of Rip	0	1896	\N	0	Drama,Short
Sea Bathing	Baignade en mer	0	1896	\N	1	Short
The Ball Game	The Ball Game	0	1898	\N	\N	Documentary,Short,Sport
Barnet Horse Fair	Barnet Horse Fair	0	1896	\N	\N	Short
Barque sortant du port de Trouville	Barque sortant du port de Trouville	0	1896	\N	\N	Documentary,Short
Bataille de neige	Bataille de neige	0	1897	\N	1	Action,Comedy,Documentary
Bateau-mouche sur la Seine	Bateau-mouche sur la Seine	0	1896	\N	\N	Documentary,Short
Batteuse à vapeur	Batteuse à vapeur	0	1896	\N	\N	Documentary,Short
Le bivouac	Le bivouac	0	1896	\N	1	Short
Les blanchisseuses	Les blanchisseuses	0	1896	\N	\N	Short
Bois de Boulogne	Bois de Boulogne	0	1896	\N	\N	Documentary,Short
Boulevard des Italiens	Boulevard des Italiens	0	1896	\N	\N	Documentary,Short
The Boxing Kangaroo	The Boxing Kangaroo	0	1896	\N	\N	Short
Boxing Match; or, Glove Contest	Boxing Match; or, Glove Contest	0	1896	\N	\N	Short,Sport
Bébé et fillettes	Bébé et fillettes	0	1896	\N	\N	Documentary,Short
The Bohemian Encampment	Campement de bohémiens	0	1896	\N	\N	Documentary,Short
Carga de rurales	Carga de rurales	0	1896	\N	1	Documentary,Short
